filename,width,height,class,xmin,ymin,xmax,ymax
malfunction_87.png,480,640,malfunction,128,11,257,118
malfunction_87.png,480,640,malfunction,68,10,127,297
malfunction_88.png,480,640,malfunction,221,8,331,300
malfunction_89.png,480,640,malfunction,12,370,127,453
malfunction_89.png,480,640,malfunction,101,247,159,407
malfunction_90.png,480,640,malfunction,367,8,621,328
malfunction_91.png,480,640,malfunction,444,9,629,290
malfunction_92.png,480,640,malfunction,388,238,513,478
malfunction_92.png,480,640,malfunction,12,12,151,330
malfunction_93.png,480,640,malfunction,74,9,272,273
malfunction_94.png,480,640,malfunction,567,371,629,441
malfunction_94.png,480,640,malfunction,462,371,526,434
malfunction_94.png,480,640,malfunction,132,7,178,101
malfunction_95.png,480,640,malfunction,12,254,159,469
malfunction_96.png,480,640,malfunction,96,251,276,486
malfunction_96.png,480,640,malfunction,409,10,570,441
malfunction_97.png,480,640,malfunction,526,15,629,443
malfunction_97.png,480,640,malfunction,415,13,491,250
malfunction_97.png,480,640,malfunction,474,12,556,333
malfunction_98.png,480,640,malfunction,416,241,512,432
malfunction_98.png,480,640,malfunction,526,11,585,297
malfunction_98.png,480,640,malfunction,12,8,103,357
malfunction_99.png,480,640,malfunction,22,10,146,271
malfunction_99.png,480,640,malfunction,134,6,263,335
malfunction_100.png,480,640,malfunction,334,47,393,302
malfunction_101.png,480,640,malfunction,208,7,423,426
malfunction_102.png,480,640,malfunction,129,374,184,453
malfunction_102.png,480,640,malfunction,579,64,629,168
malfunction_102.png,480,640,malfunction,535,16,610,136
malfunction_105.png,480,640,malfunction,21,12,180,297
malfunction_106.png,480,640,malfunction,164,12,392,375
malfunction_107.png,480,640,malfunction,81,250,159,447
malfunction_107.png,480,640,malfunction,168,9,269,275
malfunction_108.png,480,640,malfunction,285,10,397,430
malfunction_109.png,480,640,malfunction,209,372,268,420
malfunction_110.png,480,640,malfunction,527,13,607,190
malfunction_111.png,480,640,malfunction,12,19,59,85
malfunction_112.png,480,640,malfunction,105,9,260,442
malfunction_113.png,480,640,malfunction,273,15,319,70
malfunction_114.png,480,640,malfunction,420,10,545,212
malfunction_115.png,480,640,malfunction,140,370,222,483
malfunction_115.png,480,640,malfunction,253,368,367,456
malfunction_115.png,480,640,malfunction,331,246,394,416
malfunction_116.png,480,640,malfunction,526,8,614,112
malfunction_117.png,480,640,malfunction,61,17,103,92
malfunction_118.png,480,640,malfunction,53,15,138,111
malfunction_119.png,480,640,malfunction,522,371,606,450
malfunction_120.png,480,640,malfunction,467,11,629,456
malfunction_121.png,480,640,malfunction,426,12,555,309
malfunction_122.png,480,640,malfunction,187,366,303,467
malfunction_123.png,480,640,malfunction,291,372,385,477
malfunction_123.png,480,640,malfunction,403,365,466,442
malfunction_123.png,480,640,malfunction,574,251,629,398
malfunction_125.png,480,640,malfunction,294,11,463,197
malfunction_126.png,480,640,malfunction,399,9,601,381
malfunction_127.png,480,640,malfunction,146,364,325,487
malfunction_127.png,480,640,malfunction,529,10,629,216
malfunction_128.png,480,640,malfunction,12,10,155,374
malfunction_129.png,480,640,malfunction,12,9,191,328
malfunction_130.png,480,640,malfunction,115,10,308,332
malfunction_131.png,480,640,malfunction,232,8,426,329
malfunction_132.png,480,640,malfunction,367,10,410,51
malfunction_133.png,480,640,malfunction,533,12,629,399
malfunction_134.png,480,640,malfunction,12,11,163,449
malfunction_136.png,480,640,malfunction,88,12,179,161
malfunction_137.png,480,640,malfunction,534,373,611,472
malfunction_138.png,480,640,malfunction,16,370,126,439
malfunction_138.png,480,640,malfunction,386,11,520,185
malfunction_139.png,480,640,malfunction,148,367,254,453
malfunction_139.png,480,640,malfunction,496,10,556,247
malfunction_140.png,480,640,malfunction,351,370,397,425
malfunction_140.png,480,640,malfunction,578,12,623,81
malfunction_141.png,480,640,malfunction,26,14,80,248
malfunction_142.png,480,640,malfunction,151,14,295,435
malfunction_143.png,480,640,malfunction,323,10,498,403
malfunction_144.png,480,640,malfunction,382,10,620,296
malfunction_145.png,480,640,malfunction,504,9,629,298
malfunction_146.png,480,640,malfunction,259,366,385,463
malfunction_146.png,480,640,malfunction,12,11,78,164
malfunction_147.png,480,640,malfunction,462,247,629,479
malfunction_148.png,480,640,malfunction,444,369,614,450
malfunction_150.png,480,640,malfunction,553,12,595,54
malfunction_151.png,480,640,malfunction,437,7,574,368
malfunction_152.png,480,640,malfunction,288,366,469,468
malfunction_152.png,480,640,malfunction,557,10,629,261
malfunction_153.png,480,640,malfunction,552,253,629,441
malfunction_153.png,480,640,malfunction,12,12,103,373
malfunction_154.png,480,640,malfunction,115,8,320,314
malfunction_157.png,480,640,malfunction,514,10,629,391
malfunction_158.png,480,640,malfunction,416,239,512,464
malfunction_158.png,480,640,malfunction,12,13,90,262
malfunction_159.png,480,640,malfunction,532,253,629,465
malfunction_160.png,480,640,malfunction,520,372,625,474
malfunction_160.png,480,640,malfunction,220,10,379,183
malfunction_161.png,480,640,malfunction,28,247,159,473
malfunction_162.png,480,640,malfunction,437,11,629,377
malfunction_163.png,480,640,malfunction,185,373,266,426
malfunction_163.png,480,640,malfunction,478,15,522,103
malfunction_164.png,480,640,malfunction,567,12,629,190
malfunction_164.png,480,640,malfunction,50,7,144,221
malfunction_165.png,480,640,malfunction,66,16,193,223
malfunction_166.png,480,640,malfunction,163,9,361,403
malfunction_167.png,480,640,malfunction,197,10,251,65
malfunction_168.png,480,640,malfunction,26,366,163,484
malfunction_169.png,480,640,malfunction,130,371,274,482
malfunction_169.png,480,640,malfunction,491,19,548,136
malfunction_170.png,480,640,malfunction,290,375,367,470
malfunction_170.png,480,640,malfunction,335,373,437,480
malfunction_170.png,480,640,malfunction,456,244,511,401
malfunction_170.png,480,640,malfunction,547,14,629,169
malfunction_171.png,480,640,malfunction,485,246,629,434
malfunction_171.png,480,640,malfunction,12,7,197,248
malfunction_173.png,480,640,malfunction,361,11,512,275
malfunction_174.png,480,640,malfunction,408,7,599,283
malfunction_178.png,480,640,malfunction,449,371,496,438
malfunction_180.png,480,640,malfunction,143,370,227,446
malfunction_180.png,480,640,malfunction,220,241,277,437
malfunction_181.png,480,640,malfunction,220,369,312,449
malfunction_181.png,480,640,malfunction,456,12,513,192
malfunction_182.png,480,640,malfunction,35,15,141,167
malfunction_183.png,480,640,malfunction,385,369,438,448
malfunction_184.png,480,640,malfunction,268,11,396,287
malfunction_184.png,480,640,malfunction,185,11,296,371
malfunction_185.png,480,640,malfunction,303,12,502,255
malfunction_187.png,480,640,malfunction,432,9,629,299
malfunction_188.png,480,640,malfunction,556,11,629,238
malfunction_189.png,480,640,malfunction,496,246,629,453
malfunction_189.png,480,640,malfunction,12,14,90,292
malfunction_189.png,480,640,malfunction,93,8,260,176
malfunction_190.png,480,640,malfunction,86,17,209,293
malfunction_190.png,480,640,malfunction,211,14,376,180
malfunction_191.png,480,640,malfunction,222,14,307,203
malfunction_192.png,480,640,malfunction,426,16,485,239
malfunction_192.png,480,640,malfunction,480,9,613,138
malfunction_193.png,480,640,malfunction,485,7,629,271
malfunction_194.png,480,640,malfunction,551,12,629,195
malfunction_194.png,480,640,malfunction,12,10,146,187
malfunction_195.png,480,640,malfunction,15,9,150,353
malfunction_196.png,480,640,malfunction,472,371,578,461
malfunction_197.png,480,640,malfunction,197,12,314,296
malfunction_198.png,480,640,malfunction,454,11,607,380
malfunction_199.png,480,640,malfunction,462,11,567,397
malfunction_200.png,480,640,malfunction,92,28,159,275
malfunction_201.png,480,640,malfunction,538,252,629,433
malfunction_201.png,480,640,malfunction,12,13,107,203
malfunction_201.png,480,640,malfunction,105,9,257,382
malfunction_202.png,480,640,malfunction,180,14,283,287
malfunction_203.png,480,640,malfunction,298,14,516,437
malfunction_204.png,480,640,malfunction,417,9,629,433
malfunction_205.png,480,640,malfunction,521,16,585,223
malfunction_206.png,480,640,malfunction,535,12,629,169
malfunction_207.png,480,640,malfunction,96,11,275,462
malfunction_208.png,480,640,malfunction,221,12,386,304
malfunction_208.png,480,640,malfunction,98,8,202,336
malfunction_209.png,480,640,malfunction,105,256,159,442
malfunction_210.png,480,640,malfunction,302,15,350,88
malfunction_211.png,480,640,malfunction,420,18,467,90
malfunction_212.png,480,640,malfunction,199,372,267,467
malfunction_213.png,480,640,malfunction,488,246,629,463
malfunction_214.png,480,640,malfunction,138,11,285,248
malfunction_215.png,480,640,malfunction,323,13,393,112
malfunction_215.png,480,640,malfunction,244,10,303,170
malfunction_216.png,480,640,malfunction,435,11,607,322
malfunction_217.png,480,640,malfunction,462,17,531,196
malfunction_217.png,480,640,malfunction,536,11,629,219
malfunction_218.png,480,640,malfunction,12,9,132,277
malfunction_219.png,480,640,malfunction,22,9,194,388
malfunction_220.png,480,640,malfunction,460,371,550,458
malfunction_220.png,480,640,malfunction,523,369,629,457
malfunction_221.png,480,640,malfunction,36,249,159,457
malfunction_221.png,480,640,malfunction,209,11,323,130
malfunction_223.png,480,640,malfunction,514,14,567,147
malfunction_224.png,480,640,malfunction,257,368,339,444
malfunction_224.png,480,640,malfunction,108,113,164,321
malfunction_225.png,480,640,malfunction,311,369,461,472
malfunction_225.png,480,640,malfunction,525,249,629,472
malfunction_226.png,480,640,malfunction,91,14,156,214
malfunction_226.png,480,640,malfunction,257,13,375,127
malfunction_227.png,480,640,malfunction,204,11,499,410
malfunction_228.png,480,640,malfunction,516,13,609,256
malfunction_228.png,480,640,malfunction,421,13,540,99
malfunction_229.png,480,640,malfunction,149,369,233,431
malfunction_230.png,480,640,malfunction,418,373,488,435
malfunction_230.png,480,640,malfunction,252,371,337,431
malfunction_231.png,480,640,malfunction,85,15,261,296
malfunction_232.png,480,640,malfunction,505,367,629,476
malfunction_232.png,480,640,malfunction,204,11,326,69
malfunction_233.png,480,640,malfunction,293,9,514,448
malfunction_234.png,480,640,malfunction,44,368,161,449
malfunction_235.png,480,640,malfunction,158,370,288,452
malfunction_235.png,480,640,malfunction,461,19,531,278
malfunction_236.png,480,640,malfunction,257,374,314,435
malfunction_236.png,480,640,malfunction,214,374,261,444
malfunction_237.png,480,640,malfunction,39,10,185,416
malfunction_238.png,480,640,malfunction,85,9,196,364
malfunction_239.png,480,640,malfunction,404,12,499,268
malfunction_239.png,480,640,malfunction,185,8,284,376
